drug_name	total_signals	female_signals	male_signals	mean_log_ratio	total_reports	pct_female
CYPROHEPTADINE	15	4	11	-0.4295836689996921	685	26.7
QUININE	15	8	7	0.4131177987487085	1597	53.3
ANASTROZOLE	15	4	11	-1.1520018123091167	5194	26.7
PENTOSAN POLYSULFATE	15	3	12	-1.7021553012574302	2784	20.0
DEXTROMETHORPHAN;GUAIFENESIN	15	3	12	-0.453369385347014	1108	20.0
ACETAZOLAMIDE	15	7	8	-0.17966502775252804	920	46.7
GADOXETIC ACID	15	0	15	-0.7675771106357469	499	0.0
CAPMATINIB	15	2	13	-0.5725949774752285	753	13.3
RIZATRIPTAN	15	2	13	-1.2305330271056627	3166	13.3
DEXMEDETOMIDINE	15	14	1	0.7610312153369223	666	93.3
COLISTIN	15	13	2	0.6697256589228446	889	86.7
TIMOLOL	15	7	8	-0.13279255478585142	3829	46.7
DEUTETRABENAZINE	15	3	12	-0.5270453168648921	834	20.0
ATOVAQUONE	15	10	5	0.35380256828709883	806	66.7
LAMIVUDINE;ZIDOVUDINE	15	6	9	-0.05483417503850195	855	40.0
BRIMONIDINE;BRINZOLAMIDE	15	3	12	-0.475235962678163	671	20.0
CASIRIVIMAB;IMDEVIMAB	15	0	15	-0.7457819374180551	1030	0.0
ONASEMNOGENE ABEPARVOVEC	15	6	9	-0.03458042055842677	983	40.0
IOVERSOL	15	2	13	-0.601016058593989	800	13.3
DRONEDARONE	15	4	11	-0.26844895493474136	546	26.7
LECANEMAB	15	2	13	-0.5710487482592848	1173	13.3
CANDESARTAN CILEXETIL	15	11	4	0.4838855953758775	1074	73.3
TEZEPELUMAB	15	2	13	-0.5476485420513112	760	13.3
SULFUR HEXAFLUORIDE	15	7	8	-0.08430914368173796	1049	46.7
PIPAMPERONE	15	10	5	0.25169064807466346	911	66.7
FINASTERIDE	15	11	4	1.185041636229622	5378	73.3
METHOCARBAMOL	14	4	10	-0.8124319479247043	1484	28.6
GADOPENTETIC ACID	14	4	10	-0.388765474730092	728	28.6
CHLOROQUINE	14	9	5	0.3545620790623588	1674	64.3
TRIAZOLAM	14	5	9	-0.32250031909480487	1053	35.7
METOLAZONE	14	11	3	0.4914387265062266	768	78.6
FOSTAMATINIB	14	2	12	-0.47279800717563353	746	14.3
CAFFEINE;DIHYDROCODEINE;PARACETAMOL	14	13	1	0.6933135281449506	2992	92.9
BRIGATINIB	14	10	4	0.30370254146376957	783	71.4
GALSULFASE	14	2	12	-0.47432131627792956	533	14.3
CABERGOLINE	14	2	12	-0.7898743467832564	661	14.3
CHORIONIC GONADOTROPHIN	14	0	14	-2.0084257793129185	950	0.0
FLURAZEPAM	14	2	12	-0.7274473177948201	1230	14.3
RIFABUTIN	14	10	4	0.3670292627190393	684	71.4
TERBUTALINE	14	5	9	-0.23399914736085428	946	35.7
DIDANOSINE	14	9	5	0.23348741229461042	983	64.3
BISMUTH	14	3	11	-1.1391881361710594	1212	21.4
AMINOPHYLLINE	14	6	8	-0.02181453167450536	1723	42.9
DESONIDE	14	4	10	-0.8101309407681146	1813	28.6
HYDROXYQUINOLINE	14	0	14	-2.4649251007184456	738	0.0
LANTHANUM CARBONATE	14	5	9	-0.7197175670354322	2267	35.7
TIAPRIDE	14	13	1	0.7129684287522663	663	92.9
ALBIGLUTIDE	14	3	11	-0.37704981205856697	2861	21.4
PANOBINOSTAT	14	11	3	0.3806232851524781	834	78.6
ROFECOXIB	14	3	11	-1.3038993452325347	1759	21.4
VARICELLA ZOSTER VACCINE	14	3	11	-0.6290597822251411	1107	21.4
IBANDRONIC ACID	14	2	12	-0.8907849602098873	3998	14.3
BILASTINE	14	5	9	-0.3658463526217296	815	35.7
AMBROXOL	14	7	7	-0.4414875597227077	1303	50.0
CHLORAMBUCIL	14	12	2	0.66441571383082	841	85.7
LOXOPROFEN	14	9	5	0.25312349442243454	607	64.3
ADEFOVIR DIPIVOXIL	14	9	5	0.3717633599215617	802	64.3
FLUOXETINE HYDROCHLORIDE	14	6	8	-0.10732678121962225	821	42.9
NALOXONE;OXYCODONE	14	4	10	-0.19454662278192017	673	28.6
MAGNESIUM;POTASSIUM SULFATE;SODIUM SULFATE	14	3	11	-0.48945287372578317	2667	21.4
LUTETIUM (177LU) DOTATATE	14	7	7	0.0017577576237180878	718	50.0
PEXIDARTINIB	14	6	8	-0.21992300760515096	1058	42.9
AMANTADINE HYDROCHLORIDE	14	8	6	0.29165865147348297	749	57.1
LOMITAPIDE	13	2	11	-0.6707287918371466	904	15.4
IOPAMIDOL	13	0	13	-0.7266959875268515	625	0.0
DEXAMFETAMINE	13	2	11	-0.5437152681910753	755	15.4
MANNITOL	13	2	11	-1.0781357979218649	1341	15.4
ACARBOSE	13	7	6	0.09990748178221646	879	53.8
CRISABOROLE	13	0	13	-0.786015120162516	803	0.0
ROPIVACAINE	13	1	12	-0.7051131586113752	525	7.7
LOMUSTINE	13	8	5	0.2319735107187068	583	61.5
