adverse_event	n_signals	n_drugs	n_female_signals	n_male_signals	pct_female	mean_abs_lr	median_abs_lr	max_abs_lr	total_reports
Anogenital warts	1	1	1	0	100.000	0.554	0.554	0.554	34
Anogenital dysplasia	1	1	0	1	0.000	0.659	0.659	0.659	24
Anion gap increased	1	1	1	0	100.000	0.651	0.651	0.651	47
Animal bite	1	1	0	1	0.000	1.045	1.045	1.045	40
Angular cheilitis	1	1	0	1	0.000	0.608	0.608	0.608	23
Angiosarcoma metastatic	1	1	0	1	0.000	0.519	0.519	0.519	39
Angioplasty	1	1	0	1	0.000	0.536	0.536	0.536	41
Angiomyolipoma	1	1	0	1	0.000	0.785	0.785	0.785	24
Angiodysplasia	1	1	1	0	100.000	1.082	1.082	1.082	22
Angina bullosa haemorrhagica	1	1	0	1	0.000	0.656	0.656	0.656	46
Aneurysm ruptured	1	1	1	0	100.000	0.539	0.539	0.539	34
Anastomotic ulcer haemorrhage	1	1	1	0	100.000	1.132	1.132	1.132	60
Anastomotic stenosis	1	1	1	0	100.000	0.825	0.825	0.825	37
Anastomotic haemorrhage	1	1	1	0	100.000	0.829	0.829	0.829	26
Anaphylactoid shock	1	1	1	0	100.000	0.978	0.978	0.978	45
Alcohol withdrawal syndrome	1	1	1	0	100.000	1.105	1.105	1.105	82
Anal squamous cell carcinoma	1	1	0	1	0.000	0.553	0.553	0.553	25
Anal skin tags	1	1	0	1	0.000	0.686	0.686	0.686	42
Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits	1	1	0	1	0.000	0.967	0.967	0.967	27
Amphetamines negative	1	1	0	1	0.000	0.560	0.560	0.560	21
Amoebiasis	1	1	0	1	0.000	0.506	0.506	0.506	26
Ammonia abnormal	1	1	1	0	100.000	0.542	0.542	0.542	49
Amaurosis	1	1	1	0	100.000	0.667	0.667	0.667	25
Alveolitis allergic	1	1	1	0	100.000	0.697	0.697	0.697	54
Allogenic stem cell transplantation	1	1	1	0	100.000	1.519	1.519	1.519	69
Allergy test positive	1	1	0	1	0.000	0.740	0.740	0.740	79
Allergic sinusitis	1	1	0	1	0.000	0.763	0.763	0.763	64
Allergic reaction to excipient	1	1	0	1	0.000	1.227	1.227	1.227	22
Allergic granulomatous angiitis	1	1	0	1	0.000	0.674	0.674	0.674	49
Alkalosis hypochloraemic	1	1	1	0	100.000	0.567	0.567	0.567	31
Basal ganglia haemorrhage	1	1	1	0	100.000	0.963	0.963	0.963	71
Basophil count increased	1	1	1	0	100.000	0.736	0.736	0.736	28
Chronic pigmented purpura	1	1	0	1	0.000	0.595	0.595	0.595	37
Cardiac fibrillation	1	1	1	0	100.000	0.526	0.526	0.526	57
Camptocormia	1	1	1	0	100.000	1.035	1.035	1.035	62
Carbon monoxide diffusing capacity decreased	1	1	1	0	100.000	0.512	0.512	0.512	31
Carcinoid heart disease	1	1	1	0	100.000	0.611	0.611	0.611	38
Carcinoid tumour	1	1	1	0	100.000	0.771	0.771	0.771	28
Cardiac assistance device user	1	1	1	0	100.000	0.584	0.584	0.584	31
Cardiac death	1	1	1	0	100.000	0.682	0.682	0.682	47
Cardiac infection	1	1	0	1	0.000	0.891	0.891	0.891	23
Castleman's disease	1	1	0	1	0.000	0.794	0.794	0.794	49
Cardiac output decreased	1	1	1	0	100.000	0.777	0.777	0.777	40
Cardiac perforation	1	1	1	0	100.000	0.712	0.712	0.712	23
Cardiac ventricular thrombosis	1	1	1	0	100.000	0.892	0.892	0.892	26
Cardiometabolic syndrome	1	1	1	0	100.000	0.687	0.687	0.687	26
Carnitine deficiency	1	1	1	0	100.000	1.089	1.089	1.089	48
Carotid artery disease	1	1	0	1	0.000	0.768	0.768	0.768	30
Calculus urinary	1	1	1	0	100.000	1.442	1.442	1.442	37
Calculus ureteric	1	1	0	1	0.000	1.272	1.272	1.272	56
Caecitis	1	1	1	0	100.000	0.784	0.784	0.784	25
COVID-19 treatment	1	1	0	1	0.000	0.825	0.825	0.825	34
CHANTER syndrome	1	1	1	0	100.000	1.447	1.447	1.447	44
CD8 lymphocytes decreased	1	1	0	1	0.000	1.399	1.399	1.399	30
CD4 lymphocytes abnormal	1	1	1	0	100.000	1.314	1.314	1.314	21
CAR T-cell-related encephalopathy syndrome	1	1	1	0	100.000	1.357	1.357	1.357	81
C-reactive protein	1	1	1	0	100.000	1.559	1.559	1.559	399
Buttock injury	1	1	0	1	0.000	0.983	0.983	0.983	37
Butterfly rash	1	1	0	1	0.000	0.536	0.536	0.536	141
Burns third degree	1	1	0	1	0.000	0.556	0.556	0.556	75
Burn oral cavity	1	1	0	1	0.000	0.528	0.528	0.528	34
Bullous haemorrhagic dermatosis	1	1	0	1	0.000	0.646	0.646	0.646	40
Budd-Chiari syndrome	1	1	0	1	0.000	0.776	0.776	0.776	23
Brow ptosis	1	1	1	0	100.000	1.374	1.374	1.374	513
Bronchopneumonia	1	1	1	0	100.000	0.670	0.670	0.670	21
Cartilage atrophy	1	1	0	1	0.000	0.988	0.988	0.988	26
Catheter removal	1	1	0	1	0.000	0.967	0.967	0.967	24
Bendopnoea	1	1	0	1	0.000	0.530	0.530	0.530	41
Cholangitis infective	1	1	1	0	100.000	0.869	0.869	0.869	27
Cervix carcinoma	1	1	0	1	0.000	0.780	0.780	0.780	1236
Chalazion	1	1	0	1	0.000	0.958	0.958	0.958	37
Chemical burn	1	1	0	1	0.000	1.120	1.120	1.120	21
Chikungunya virus infection	1	1	0	1	0.000	1.148	1.148	1.148	27
Child abuse	1	1	1	0	100.000	1.819	1.819	1.819	31
Cholangitis acute	1	1	1	0	100.000	1.112	1.112	1.112	24
Chondrocalcinosis pyrophosphate	1	1	0	1	0.000	0.887	0.887	0.887	33
Catheter site bruise	1	1	0	1	0.000	0.725	0.725	0.725	23
Chondrolysis	1	1	0	1	0.000	1.131	1.131	1.131	156
Chorioretinitis	1	1	1	0	100.000	1.056	1.056	1.056	51
Chronic fatigue syndrome	1	1	0	1	0.000	0.808	0.808	0.808	112
Chronic graft versus host disease in eye	1	1	1	0	100.000	0.695	0.695	0.695	31
Chronic left ventricular failure	1	1	1	0	100.000	0.842	0.842	0.842	38
Chronic lymphocytic leukaemia transformation	1	1	1	0	100.000	1.217	1.217	1.217	28
Cervical cord compression	1	1	0	1	0.000	0.583	0.583	0.583	29
Cerebral ventricular rupture	1	1	1	0	100.000	0.545	0.545	0.545	56
Cerebral ventricle dilatation	1	1	1	0	100.000	1.049	1.049	1.049	32
Cerebral vasoconstriction	1	1	0	1	0.000	1.009	1.009	1.009	51
Cerebral microhaemorrhage	1	1	1	0	100.000	0.727	0.727	0.727	31
Cerebral mass effect	1	1	1	0	100.000	0.521	0.521	0.521	35
Cerebral haemorrhage neonatal	1	1	1	0	100.000	0.578	0.578	0.578	27
Cerebellar haematoma	1	1	1	0	100.000	1.155	1.155	1.155	29
Central sleep apnoea syndrome	1	1	1	0	100.000	0.691	0.691	0.691	40
Central nervous system inflammation	1	1	0	1	0.000	1.135	1.135	1.135	41
Cell marker increased	1	1	1	0	100.000	0.649	0.649	0.649	34
Catheterisation cardiac abnormal	1	1	0	1	0.000	0.734	0.734	0.734	55
Catheter site related reaction	1	1	1	0	100.000	0.890	0.890	0.890	87
Catheter site pain	1	1	0	1	0.000	0.972	0.972	0.972	51
Catheter site irritation	1	1	0	1	0.000	0.994	0.994	0.994	64
Catheter site haemorrhage	1	1	1	0	100.000	0.528	0.528	0.528	297
Catheter site extravasation	1	1	1	0	100.000	0.822	0.822	0.822	66
Bronchopleural fistula	1	1	1	0	100.000	0.735	0.735	0.735	27
Bronchomalacia	1	1	1	0	100.000	0.600	0.600	0.600	32
Breath alcohol test positive	1	1	1	0	100.000	0.879	0.879	0.879	55
Blood bilirubin decreased	1	1	1	0	100.000	0.770	0.770	0.770	41
Bleeding time prolonged	1	1	1	0	100.000	0.739	0.739	0.739	20
Blister infected	1	1	0	1	0.000	1.489	1.489	1.489	25
Blood 25-hydroxycholecalciferol decreased	1	1	1	0	100.000	0.787	0.787	0.787	57
Blood alkaline phosphatase abnormal	1	1	0	1	0.000	1.164	1.164	1.164	49
Blood beta-D-glucan increased	1	1	1	0	100.000	0.599	0.599	0.599	23
Blood bilirubin abnormal	1	1	1	0	100.000	0.507	0.507	0.507	21
Blood cholesterol	1	1	0	1	0.000	0.745	0.745	0.745	56
Breast feeding	1	1	0	1	0.000	4.613	4.613	4.613	22
Blood cholinesterase decreased	1	1	1	0	100.000	0.642	0.642	0.642	63
Blood chromogranin A increased	1	1	0	1	0.000	0.555	0.555	0.555	30
Blood creatine phosphokinase decreased	1	1	1	0	100.000	0.583	0.583	0.583	29
Blood electrolytes abnormal	1	1	0	1	0.000	1.183	1.183	1.183	41
Blood electrolytes decreased	1	1	0	1	0.000	0.944	0.944	0.944	71
Blood ethanol increased	1	1	1	0	100.000	1.157	1.157	1.157	32
Blastomycosis	1	1	1	0	100.000	0.791	0.791	0.791	42
Bladder perforation	1	1	0	1	0.000	0.730	0.730	0.730	34
Bladder operation	1	1	0	1	0.000	1.037	1.037	1.037	41
Bladder dysfunction	1	1	0	1	0.000	0.549	0.549	0.549	33
Bladder cancer stage II	1	1	1	0	100.000	0.673	0.673	0.673	81
Bladder cancer stage I, with cancer in situ	1	1	1	0	100.000	0.525	0.525	0.525	202
Bladder cancer recurrent	1	1	1	0	100.000	1.761	1.761	1.761	205
Bite	1	1	0	1	0.000	0.769	0.769	0.769	36
Biopsy bone marrow	1	1	0	1	0.000	0.533	0.533	0.533	57
Biliary sphincterotomy	1	1	0	1	0.000	1.166	1.166	1.166	27
Biliary colic	1	1	0	1	0.000	0.642	0.642	0.642	26
Biliary anastomosis complication	1	1	1	0	100.000	0.531	0.531	0.531	28
Bile duct stent insertion	1	1	1	0	100.000	0.523	0.523	0.523	21
Bile acid malabsorption	1	1	0	1	0.000	0.969	0.969	0.969	32
Bicuspid aortic valve	1	1	0	1	0.000	0.737	0.737	0.737	39
Benign renal neoplasm	1	1	0	1	0.000	0.886	0.886	0.886	22
Benign bone neoplasm	1	1	0	1	0.000	0.763	0.763	0.763	24
Blood immunoglobulin A decreased	1	1	0	1	0.000	0.821	0.821	0.821	36
Blood immunoglobulin E decreased	1	1	0	1	0.000	0.657	0.657	0.657	25
Blood immunoglobulin M decreased	1	1	0	1	0.000	0.616	0.616	0.616	35
Bone giant cell tumour	1	1	0	1	0.000	1.274	1.274	1.274	173
Breast disorder	1	1	0	1	0.000	3.279	3.279	3.279	120
Breast discharge	1	1	0	1	0.000	2.637	2.637	2.637	177
Breast cancer stage III	1	1	0	1	0.000	1.002	1.002	1.002	4062
Breast cancer stage I	1	1	1	0	100.000	0.627	0.627	0.627	8298
Breast cancer metastatic	1	1	0	1	0.000	2.627	2.627	2.627	613
Brain stem infarction	1	1	1	0	100.000	0.596	0.596	0.596	46
Brain neoplasm benign	1	1	0	1	0.000	0.647	0.647	0.647	75
Brain hypoxia	1	1	0	1	0.000	0.859	0.859	0.859	33
Brain empyema	1	1	1	0	100.000	1.005	1.005	1.005	30
Botulism	1	1	1	0	100.000	1.287	1.287	1.287	322
Bone hypertrophy	1	1	0	1	0.000	0.835	0.835	0.835	30
Bone hyperpigmentation	1	1	0	1	0.000	1.077	1.077	1.077	61
Bone graft	1	1	0	1	0.000	0.792	0.792	0.792	71
Bone giant cell tumour malignant	1	1	0	1	0.000	1.933	1.933	1.933	22
Bone fragmentation	1	1	0	1	0.000	0.788	0.788	0.788	98
Blood ketone body increased	1	1	1	0	100.000	0.547	0.547	0.547	145
Bone fistula	1	1	0	1	0.000	0.685	0.685	0.685	54
Bone fissure	1	1	0	1	0.000	1.722	1.722	1.722	31
Bone density increased	1	1	0	1	0.000	1.890	1.890	1.890	81
Bone deformity	1	1	0	1	0.000	1.143	1.143	1.143	48
Bone atrophy	1	1	0	1	0.000	0.857	0.857	0.857	30
Body tinea	1	1	1	0	100.000	0.742	0.742	0.742	70
Blue toe syndrome	1	1	1	0	100.000	0.656	0.656	0.656	33
Blood urea decreased	1	1	1	0	100.000	0.610	0.610	0.610	34
Blood urea abnormal	1	1	0	1	0.000	0.703	0.703	0.703	33
Blood testosterone increased	1	1	1	0	100.000	2.775	2.775	2.775	678
Blood parathyroid hormone abnormal	1	1	0	1	0.000	0.688	0.688	0.688	294
Blood pH decreased	1	1	1	0	100.000	0.605	0.605	0.605	29
Blood loss anaemia	1	1	1	0	100.000	0.702	0.702	0.702	27
Blood lactic acid	1	1	0	1	0.000	0.657	0.657	0.657	52
Generalised pustular psoriasis	1	1	0	1	0.000	0.645	0.645	0.645	30
Genital erythema	1	1	1	0	100.000	1.182	1.182	1.182	23
Prosthesis implantation	1	1	0	1	0.000	0.613	0.613	0.613	30
Nerve root compression	1	1	0	1	0.000	0.682	0.682	0.682	32
Neonatal hypoxia	1	1	0	1	0.000	2.390	2.390	2.390	23
Neonatal respiratory distress	1	1	1	0	100.000	0.972	0.972	0.972	29
Neovascular age-related macular degeneration	1	1	0	1	0.000	0.704	0.704	0.704	60
Nephritis allergic	1	1	1	0	100.000	0.527	0.527	0.527	33
Nephrogenic systemic fibrosis	1	1	0	1	0.000	0.589	0.589	0.589	857
Nephrosclerosis	1	1	1	0	100.000	1.096	1.096	1.096	27
Neural tube defect	1	1	0	1	0.000	0.576	0.576	0.576	139
Neuropathic arthropathy	1	1	0	1	0.000	0.812	0.812	0.812	109
Neuritis	1	1	0	1	0.000	4.642	4.642	4.642	162
Neuroendocrine carcinoma metastatic	1	1	1	0	100.000	0.654	0.654	0.654	32
Neurogenic shock	1	1	0	1	0.000	0.724	0.724	0.724	28
Neuroma	1	1	0	1	0.000	0.502	0.502	0.502	61
Neuromuscular block prolonged	1	1	1	0	100.000	0.769	0.769	0.769	35
Neuromyelitis optica spectrum disorder	1	1	0	1	0.000	0.906	0.906	0.906	175
Neglect of personal appearance	1	1	1	0	100.000	0.944	0.944	0.944	24
Negativism	1	1	1	0	100.000	0.969	0.969	0.969	29
Needle track marks	1	1	0	1	0.000	0.504	0.504	0.504	51
Necrotising oesophagitis	1	1	1	0	100.000	0.847	0.847	0.847	24
Necrotising myositis	1	1	1	0	100.000	1.111	1.111	1.111	75
Nasopharyngeal cancer	1	1	1	0	100.000	0.500	0.500	0.500	90
Nasal ulcer	1	1	0	1	0.000	1.136	1.136	1.136	94
Nasal septum perforation	1	1	0	1	0.000	1.165	1.165	1.165	20
Nasal septal operation	1	1	0	1	0.000	0.539	0.539	0.539	38
Nasal crusting	1	1	0	1	0.000	0.865	0.865	0.865	58
Nail toxicity	1	1	0	1	0.000	0.586	0.586	0.586	54
Nail injury	1	1	0	1	0.000	0.573	0.573	0.573	35
Nail infection	1	1	0	1	0.000	0.612	0.612	0.612	83
Nail dystrophy	1	1	0	1	0.000	0.706	0.706	0.706	38
Nail bed disorder	1	1	0	1	0.000	1.670	1.670	1.670	26
NSAID exacerbated respiratory disease	1	1	0	1	0.000	0.908	0.908	0.908	124
NIH stroke scale score increased	1	1	1	0	100.000	0.576	0.576	0.576	40
Neuromyopathy	1	1	1	0	100.000	0.624	0.624	0.624	21
Neutralising antibodies positive	1	1	1	0	100.000	0.700	0.700	0.700	72
Myoglobin blood increased	1	1	1	0	100.000	1.036	1.036	1.036	33
Oesophageal carcinoma stage 0	1	1	1	0	100.000	0.646	0.646	0.646	36
Nutritional condition abnormal	1	1	0	1	0.000	0.972	0.972	0.972	36
Ochronosis	1	1	0	1	0.000	3.069	3.069	3.069	38
Ocular procedural complication	1	1	0	1	0.000	0.697	0.697	0.697	34
Ocular toxicity	1	1	1	0	100.000	0.680	0.680	0.680	37
Ocular vascular disorder	1	1	0	1	0.000	1.339	1.339	1.339	32
Oedematous pancreatitis	1	1	0	1	0.000	1.228	1.228	1.228	39
Oesophageal discomfort	1	1	0	1	0.000	1.014	1.014	1.014	21
Neutrophil percentage decreased	1	1	0	1	0.000	0.607	0.607	0.607	20
Oesophageal food impaction	1	1	0	1	0.000	0.568	0.568	0.568	93
Oesophageal infection	1	1	0	1	0.000	0.776	0.776	0.776	26
Oesophagitis ulcerative	1	1	1	0	100.000	1.095	1.095	1.095	24
Omphalitis	1	1	0	1	0.000	0.777	0.777	0.777	28
Onychalgia	1	1	0	1	0.000	0.578	0.578	0.578	52
Open fracture	1	1	0	1	0.000	0.994	0.994	0.994	24
Nuclear magnetic resonance imaging	1	1	0	1	0.000	0.537	0.537	0.537	41
Norovirus test positive	1	1	0	1	0.000	0.521	0.521	0.521	22
Norovirus infection	1	1	1	0	100.000	1.150	1.150	1.150	38
Normal newborn	1	1	0	1	0.000	2.053	2.053	2.053	484
Nonreassuring foetal heart rate pattern	1	1	0	1	0.000	2.506	2.506	2.506	38
Noninfective gingivitis	1	1	1	0	100.000	1.222	1.222	1.222	59
Noninfectious peritonitis	1	1	1	0	100.000	0.888	0.888	0.888	80
Non-high-density lipoprotein cholesterol increased	1	1	1	0	100.000	1.221	1.221	1.221	45
Non-alcoholic steatohepatitis	1	1	0	1	0.000	1.636	1.636	1.636	28
Non-alcoholic fatty liver	1	1	1	0	100.000	0.652	0.652	0.652	54
Non-Hodgkin's lymphoma stage III	1	1	1	0	100.000	1.192	1.192	1.192	35
Nodal rhythm	1	1	1	0	100.000	0.635	0.635	0.635	39
Nodal osteoarthritis	1	1	0	1	0.000	0.767	0.767	0.767	58
Nodal arrhythmia	1	1	1	0	100.000	0.731	0.731	0.731	36
Nocturnal fear	1	1	0	1	0.000	0.750	0.750	0.750	25
Nitrite urine present	1	1	1	0	100.000	0.849	0.849	0.849	110
Newborn persistent pulmonary hypertension	1	1	1	0	100.000	0.565	0.565	0.565	39
Myxoedema coma	1	1	1	0	100.000	1.122	1.122	1.122	127
Myofascial pain syndrome	1	1	0	1	0.000	0.609	0.609	0.609	25
Genital hypoaesthesia	1	1	1	0	100.000	1.618	1.618	1.618	26
Meningomyelocele	1	1	1	0	100.000	1.252	1.252	1.252	56
Meibomian gland dysfunction	1	1	0	1	0.000	1.195	1.195	1.195	24
Meniere's disease	1	1	0	1	0.000	1.738	1.738	1.738	33
Meningitis fungal	1	1	1	0	100.000	0.540	0.540	0.540	49
Meningococcal infection	1	1	0	1	0.000	0.716	0.716	0.716	45
Meningococcal sepsis	1	1	1	0	100.000	1.004	1.004	1.004	68
Meningoencephalitis herpetic	1	1	1	0	100.000	0.531	0.531	0.531	25
Meniscus operation	1	1	0	1	0.000	0.979	0.979	0.979	37
Metastases to gastrointestinal tract	1	1	1	0	100.000	0.519	0.519	0.519	24
Mental fatigue	1	1	0	1	0.000	0.724	0.724	0.724	28
Merycism	1	1	0	1	0.000	1.399	1.399	1.399	50
Mesenteritis	1	1	1	0	100.000	0.948	0.948	0.948	48
Mesothelioma	1	1	0	1	0.000	0.971	0.971	0.971	174
Metamorphopsia	1	1	0	1	0.000	0.703	0.703	0.703	37
Metapneumovirus infection	1	1	1	0	100.000	0.630	0.630	0.630	43
Medulloblastoma recurrent	1	1	1	0	100.000	0.920	0.920	0.920	28
Medulloblastoma	1	1	1	0	100.000	0.590	0.590	0.590	21
Medical device site ulcer	1	1	1	0	100.000	0.999	0.999	0.999	26
Medical device site scab	1	1	0	1	0.000	1.378	1.378	1.378	32
Medical device site reaction	1	1	0	1	0.000	0.998	0.998	0.998	27
Medical device site pain	1	1	0	1	0.000	0.735	0.735	0.735	45
Medical device site infection	1	1	1	0	100.000	0.557	0.557	0.557	21
Medical device site fibrosis	1	1	0	1	0.000	0.658	0.658	0.658	31
Medical device site erosion	1	1	1	0	100.000	1.419	1.419	1.419	31
Medical device site discharge	1	1	1	0	100.000	0.675	0.675	0.675	31
Medical device change	1	1	0	1	0.000	0.508	0.508	0.508	96
Medical device battery replacement	1	1	1	0	100.000	0.508	0.508	0.508	22
Medial tibial stress syndrome	1	1	0	1	0.000	1.832	1.832	1.832	30
Meconium aspiration syndrome	1	1	1	0	100.000	0.795	0.795	0.795	23
Mechanical ileus	1	1	1	0	100.000	0.803	0.803	0.803	31
Mean platelet volume decreased	1	1	0	1	0.000	0.651	0.651	0.651	33
Mean cell haemoglobin concentration increased	1	1	0	1	0.000	0.992	0.992	0.992	66
Metastases to chest wall	1	1	0	1	0.000	0.925	0.925	0.925	23
Metastases to pelvis	1	1	1	0	100.000	0.939	0.939	0.939	71
Myeloma cast nephropathy	1	1	1	0	100.000	1.451	1.451	1.451	33
Muscle necrosis	1	1	0	1	0.000	0.997	0.997	0.997	57
Mucosal ulceration	1	1	0	1	0.000	0.511	0.511	0.511	40
Mucous membrane disorder	1	1	0	1	0.000	0.552	0.552	0.552	23
Multi-organ disorder	1	1	0	1	0.000	0.574	0.574	0.574	24
Multimorbidity	1	1	0	1	0.000	0.629	0.629	0.629	41
Multiple congenital abnormalities	1	1	0	1	0.000	0.603	0.603	0.603	56
Multiple system atrophy	1	1	1	0	100.000	1.543	1.543	1.543	46
Myasthenic syndrome	1	1	1	0	100.000	0.520	0.520	0.520	37
Metastases to pleura	1	1	1	0	100.000	0.693	0.693	0.693	86
Mycobacterial peritonitis	1	1	1	0	100.000	1.188	1.188	1.188	47
Mycobacterium fortuitum infection	1	1	0	1	0.000	0.810	0.810	0.810	47
Mycobacterium ulcerans infection	1	1	1	0	100.000	2.552	2.552	2.552	23
Mycosis fungoides	1	1	1	0	100.000	0.591	0.591	0.591	25
Myelocyte count increased	1	1	1	0	100.000	0.526	0.526	0.526	25
Myelodysplastic syndrome transformation	1	1	1	0	100.000	1.111	1.111	1.111	35
Mucosal discolouration	1	1	0	1	0.000	0.797	0.797	0.797	25
Mucocutaneous ulceration	1	1	0	1	0.000	0.822	0.822	0.822	99
Mucocutaneous leishmaniasis	1	1	1	0	100.000	1.012	1.012	1.012	39
Morphoea	1	1	0	1	0.000	0.921	0.921	0.921	22
Moraxella infection	1	1	1	0	100.000	0.715	0.715	0.715	34
Monocytosis	1	1	1	0	100.000	0.738	0.738	0.738	47
Mixed connective tissue disease	1	1	0	1	0.000	2.605	2.605	2.605	26
Mitral valve thickening	1	1	1	0	100.000	1.321	1.321	1.321	66
Mitral valve disease	1	1	0	1	0.000	0.529	0.529	0.529	29
Mitochondrial cytopathy	1	1	1	0	100.000	0.613	0.613	0.613	46
Mineral supplementation	1	1	0	1	0.000	0.904	0.904	0.904	44
Miliaria	1	1	0	1	0.000	0.677	0.677	0.677	186
Microvillous inclusion disease	1	1	1	0	100.000	0.782	0.782	0.782	31
Microscopic polyangiitis	1	1	0	1	0.000	1.005	1.005	1.005	33
Metatarsal excision	1	1	0	1	0.000	1.621	1.621	1.621	100
Metastatic lymphoma	1	1	0	1	0.000	0.590	0.590	0.590	25
Metastases to the mediastinum	1	1	0	1	0.000	0.830	0.830	0.830	31
Optic atrophy	1	1	0	1	0.000	0.549	0.549	0.549	58
Optic nerve disorder	1	1	0	1	0.000	0.564	0.564	0.564	22
Oral cavity fistula	1	1	0	1	0.000	1.359	1.359	1.359	168
Post procedural fistula	1	1	0	1	0.000	0.577	0.577	0.577	76
Poor sucking reflex	1	1	1	0	100.000	0.753	0.753	0.753	27
Portal hypertensive gastropathy	1	1	1	0	100.000	1.789	1.789	1.789	30
Positive airway pressure therapy	1	1	1	0	100.000	0.580	0.580	0.580	20
Post procedural contusion	1	1	1	0	100.000	0.638	0.638	0.638	55
Post procedural discharge	1	1	0	1	0.000	0.516	0.516	0.516	193
Post procedural discomfort	1	1	0	1	0.000	2.713	2.713	2.713	59
Post procedural haematoma	1	1	1	0	100.000	0.764	0.764	0.764	57
Postoperative abscess	1	1	0	1	0.000	0.707	0.707	0.707	58
Post procedural inflammation	1	1	0	1	0.000	0.524	0.524	0.524	213
Post procedural stroke	1	1	0	1	0.000	0.644	0.644	0.644	29
Post thrombotic syndrome	1	1	0	1	0.000	0.839	0.839	0.839	30
Post transplant distal limb syndrome	1	1	1	0	100.000	2.055	2.055	2.055	123
Post-depletion B-cell recovery	1	1	0	1	0.000	1.150	1.150	1.150	68
Postmortem blood drug level abnormal	1	1	0	1	0.000	0.974	0.974	0.974	47
Poor quality device used	1	1	0	1	0.000	0.573	0.573	0.573	2972
Polymyositis	1	1	1	0	100.000	0.586	0.586	0.586	51
Polymerase chain reaction positive	1	1	1	0	100.000	0.513	0.513	0.513	70
Polychondritis	1	1	0	1	0.000	1.071	1.071	1.071	38
Polyarteritis nodosa	1	1	0	1	0.000	1.299	1.299	1.299	36
Pneumonia parainfluenzae viral	1	1	1	0	100.000	1.145	1.145	1.145	27
Pneumonia necrotising	1	1	1	0	100.000	1.087	1.087	1.087	28
Pneumonia legionella	1	1	0	1	0.000	0.568	0.568	0.568	112
Pneumonia haemophilus	1	1	1	0	100.000	0.890	0.890	0.890	26
Pneumonectomy	1	1	1	0	100.000	0.582	0.582	0.582	28
Pleuroperitoneal communication	1	1	1	0	100.000	0.851	0.851	0.851	82
Pleuroparenchymal fibroelastosis	1	1	1	0	100.000	0.647	0.647	0.647	27
Pleural thickening	1	1	1	0	100.000	1.547	1.547	1.547	101
Platelet dysfunction	1	1	1	0	100.000	1.415	1.415	1.415	31
Plasmacytosis	1	1	0	1	0.000	0.668	0.668	0.668	31
Pilonidal cyst	1	1	0	1	0.000	0.533	0.533	0.533	34
Pigmentary maculopathy	1	1	1	0	100.000	2.142	2.142	2.142	438
Postmortem blood drug level increased	1	1	1	0	100.000	0.688	0.688	0.688	32
Postoperative adhesion	1	1	0	1	0.000	0.728	0.728	0.728	317
Oral mucosa erosion	1	1	0	1	0.000	1.384	1.384	1.384	26
Product impurity	1	1	0	1	0.000	0.895	0.895	0.895	26
Product blister packaging issue	1	1	0	1	0.000	0.913	0.913	0.913	33
Product cleaning inadequate	1	1	0	1	0.000	0.548	0.548	0.548	30
Product confusion	1	1	0	1	0.000	0.724	0.724	0.724	21
Product contamination with body fluid	1	1	0	1	0.000	0.514	0.514	0.514	73
Product difficult to swallow	1	1	1	0	100.000	0.535	0.535	0.535	211
Product dosage form issue	1	1	1	0	100.000	0.857	0.857	0.857	62
Product ineffective	1	1	0	1	0.000	1.351	1.351	1.351	58
Postoperative delirium	1	1	1	0	100.000	0.668	0.668	0.668	33
Product packaging confusion	1	1	0	1	0.000	0.761	0.761	0.761	29
Product reconstitution quality issue	1	1	1	0	100.000	0.727	0.727	0.727	119
Product selection error	1	1	1	0	100.000	0.913	0.913	0.913	58
Product substitution	1	1	0	1	0.000	1.375	1.375	1.375	37
Product temperature excursion issue	1	1	1	0	100.000	1.485	1.485	1.485	39
Prostatic disorder	1	1	1	0	100.000	8.869	8.869	8.869	46
Product after taste	1	1	0	1	0.000	0.883	0.883	0.883	44
Product administered by wrong person	1	1	1	0	100.000	0.885	0.885	0.885	36
Proctocolectomy	1	1	0	1	0.000	0.697	0.697	0.697	65
Proctitis ulcerative	1	1	0	1	0.000	0.865	0.865	0.865	27
Procoagulant therapy	1	1	1	0	100.000	0.823	0.823	0.823	147
Procedural site reaction	1	1	0	1	0.000	0.537	0.537	0.537	37
Procedural hypotension	1	1	1	0	100.000	1.043	1.043	1.043	54
Procedural headache	1	1	0	1	0.000	0.560	0.560	0.560	50
Procedural anxiety	1	1	0	1	0.000	0.917	0.917	0.917	259
Primary sequestrum	1	1	0	1	0.000	1.710	1.710	1.710	323
Primary mediastinal large B-cell lymphoma	1	1	1	0	100.000	1.418	1.418	1.418	27
